G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sat, Nov 10, 2012	REG	N	Army	Patriot	W	76	65		1	0	W 1		s/2012-11-10-air-	air-force	2013
2	Sun, Nov 11, 2012	REG	N	Citadel	Southern	W	77	70		2	0	W 2	Clune Arena 	s/2012-11-11-air-	air-force	2013
3	Thu, Nov 15, 2012	REG		Western State		W	102	68		3	0	W 3	Clune Arena 	s/2012-11-15-air-	air-force	2013
4	Sun, Nov 18, 2012	REG		Regis (CO)		W	83	43		4	0	W 4		s/2012-11-18-air-	air-force	2013
5	Wed, Nov 21, 2012	REG		Montana State	Big Sky	W	86	72		5	0	W 5	Clune Arena 	s/2012-11-21-air-	air-force	2013
6	Sun, Nov 25, 2012	REG	@	Colorado (23)	Pac-12	L	74	89		5	1	L 1	Coors Events/Conference Center	s/2012-11-25-col	air-force	2013
7	Wed, Nov 28, 2012	REG		Jackson State	SWAC	W	76	47		6	1	W 1	Clune Arena 	s/2012-11-28-air-	air-force	2013
8	Sun, Dec 2, 2012	REG		Wichita State	MVC	L	69	72		6	2	L 1	Clune Arena 	s/2012-12-02-air-	air-force	2013
9	Sat, Dec 8, 2012	REG		Arkansas-Pine Bluff	SWAC	W	65	49		7	2	W 1	Clune Arena 	s/2012-12-08-air-	air-force	2013
10	Sat, Dec 22, 2012	REG	@	UC-Riverside	Big West	W	61	53		8	2	W 2	UCR Student Rec Center	s/2012-12-22-california-rive	air-force	2013
11	Sat, Dec 29, 2012	REG	N	Florida (14)	SEC	L	61	78		8	3	L 1		s/2012-12-29-air-	air-force	2013
12	Wed, Jan 2, 2013	REG	@	Richmond	A-10	L	68	91		8	4	L 2	Robins Center	s/2013-01-02-ric	air-force	2013
13	Wed, Jan 9, 2013	REG		Nevada	MWC	W	78	65		9	4	W 1	Clune Arena 	s/2013-01-09-air-	air-force	2013
14	Sat, Jan 12, 2013	REG	@	Nevada-Las Vegas (24)	MWC	L	71	76	OT	9	5	L 1	Thomas & Mack Center	s/2013-01-12-nevada-las-	air-force	2013
15	Wed, Jan 16, 2013	REG	@	Colorado State	MWC	L	40	79		9	6	L 2	Moby Arena	s/2013-01-16-colorado-	air-force	2013
16	Sat, Jan 19, 2013	REG		Boise State	MWC	W	91	80		10	6	W 1	Clune Arena 	s/2013-01-19-air-	air-force	2013
17	Wed, Jan 23, 2013	REG		New Orleans	Ind	W	90	48		11	6	W 2	Clune Arena 	s/2013-01-23-air-	air-force	2013
18	Sat, Jan 26, 2013	REG	@	Wyoming	MWC	W	57	48		12	6	W 3	Arena-Auditorium	s/2013-01-26-wy	air-force	2013
19	Wed, Jan 30, 2013	REG		Fresno State	MWC	W	62	50		13	6	W 4	Clune Arena 	s/2013-01-30-air-	air-force	2013
20	Sat, Feb 2, 2013	REG		San Diego State (22)	MWC	W	70	67		14	6	W 5	Clune Arena 	s/2013-02-02-air-	air-force	2013
21	Wed, Feb 6, 2013	REG	@	New Mexico (15)	MWC	L	58	81		14	7	L 1	The Pit/Bob King Court	s/2013-02-06-new-m	air-force	2013
22	Sat, Feb 9, 2013	REG	@	Nevada	MWC	L	69	74		14	8	L 2	Lawlor Events Center	s/2013-02-09-n	air-force	2013
23	Wed, Feb 13, 2013	REG		Nevada-Las Vegas	MWC	W	71	56		15	8	W 1	Clune Arena 	s/2013-02-13-air-	air-force	2013
24	Sat, Feb 16, 2013	REG		Colorado State (24)	MWC	L	86	89		15	9	L 1	Clune Arena 	s/2013-02-16-air-	air-force	2013
25	Wed, Feb 20, 2013	REG	@	Boise State	MWC	L	65	77		15	10	L 2	Taco Bell Arena	s/2013-02-20-boise-	air-force	2013
26	Tue, Feb 26, 2013	REG		Wyoming	MWC	W	72	66		16	10	W 1	Clune Arena 	s/2013-02-26-air-	air-force	2013
27	Sat, Mar 2, 2013	REG	@	Fresno State	MWC	L	41	56		16	11	L 1	Save Mart Center	s/2013-03-02-fresno-	air-force	2013
28	Wed, Mar 6, 2013	REG	@	San Diego State	MWC	L	51	58		16	12	L 2	Viejas Arena	s/2013-03-06-san-diego-	air-force	2013
29	Sat, Mar 9, 2013	REG		New Mexico (12)	MWC	W	89	88		17	12	W 1	Clune Arena 	s/2013-03-09-air-	air-force	2013
30	Wed, Mar 13, 2013	CTOURN	@	Nevada-Las Vegas	MWC	L	56	72		17	13	L 1	Thomas & Mack Center	s/2013-03-13-nevada-las-	air-force	2013
31	Thu, Mar 21, 2013	CIT	@	Hawaii	Big West	W	69	65		18	13	W 1		s/2013-03-21-h	air-force	2013
32	Sat, Mar 23, 2013	CIT	@	Weber State	Big Sky	L	57	78		18	14	L 1	Dee Events Center	s/2013-03-23-weber-	air-force	2013
1	Fri, Nov 9, 2012	REG	@	Coastal Carolina	Big South	L	70	74	OT	0	1	L 1	The HTC Center	s/2012-11-09-coastal-car	akron	2013
2	Mon, Nov 12, 2012	REG		John Carroll		W	97	53		1	1	W 1	James A. Rhodes Arena	s/2012-11-12-	akron	2013
3	Thu, Nov 15, 2012	REG	N	Oklahoma State	Big 12	L	65	69	OT	1	2	L 1		s/2012-11-15-	akron	2013
4	Fri, Nov 16, 2012	REG	N	North Carolina-Asheville	Big South	W	82	63		2	2	W 1		s/2012-11-16-	akron	2013
5	Sun, Nov 18, 2012	REG	N	Penn State	Big Ten	W	85	60		3	2	W 2		s/2012-11-18-	akron	2013
6	Sun, Dec 2, 2012	REG		Middle Tennessee	Sun Belt	W	82	77	OT	4	2	W 3	James A. Rhodes Arena	s/2012-12-02-	akron	2013
7	Sun, Dec 9, 2012	REG	@	Creighton (16)	MVC	L	61	77		4	3	L 1	Qwest Center OMAHA	s/2012-12-09-crei	akron	2013
8	Sat, Dec 15, 2012	REG	@	Detroit Mercy	Horizon	L	73	80		4	4	L 2	Calihan Hall	s/2012-12-15-detroit-	akron	2013
9	Tue, Dec 18, 2012	REG		Arkansas-Pine Bluff	SWAC	W	76	46		5	4	W 1	James A. Rhodes Arena	s/2012-12-18-	akron	2013
10	Sun, Dec 23, 2012	REG		Cleveland State	Horizon	W	87	57		6	4	W 2	James A. Rhodes Arena	s/2012-12-23-	akron	2013
11	Thu, Dec 27, 2012	REG		Texas Southern	SWAC	W	83	68		7	4	W 3	James A. Rhodes Arena	s/2012-12-27-	akron	2013
12	Sun, Dec 30, 2012	REG		Princeton	Ivy	W	62	58		8	4	W 4	James A. Rhodes Arena	s/2012-12-30-	akron	2013
13	Wed, Jan 2, 2013	REG		Coppin State	MEAC	W	91	63		9	4	W 5	James A. Rhodes Arena	s/2013-01-02-	akron	2013
14	Wed, Jan 9, 2013	REG		Western Michigan	MAC	W	65	43		10	4	W 6	James A. Rhodes Arena	s/2013-01-09-	akron	2013
15	Sat, Jan 12, 2013	REG	@	Northern Illinois	MAC	W	68	53		11	4	W 7	Convocation Center	s/2013-01-12-northern-ill	akron	2013
16	Wed, Jan 16, 2013	REG		Ball State	MAC	W	71	64		12	4	W 8	James A. Rhodes Arena	s/2013-01-16-	akron	2013
17	Sat, Jan 19, 2013	REG	@	Kent State	MAC	W	71	67		13	4	W 9	Memorial Athletic & Convocation Center	s/2013-01-19-kent-	akron	2013
18	Wed, Jan 23, 2013	REG	@	Toledo	MAC	W	71	56		14	4	W 10	John F. Savage Hall	s/2013-01-23-t	akron	2013
19	Sat, Jan 26, 2013	REG		Buffalo	MAC	W	68	64		15	4	W 11	James A. Rhodes Arena	s/2013-01-26-	akron	2013
20	Wed, Jan 30, 2013	REG	@	Bowling Green State	MAC	W	68	55		16	4	W 12	Stroh Center	s/2013-01-30-bowling-green-	akron	2013
21	Sat, Feb 2, 2013	REG		Ohio	MAC	W	86	72		17	4	W 13	James A. Rhodes Arena	s/2013-02-02-	akron	2013
22	Tue, Feb 5, 2013	REG		Central Michigan	MAC	W	68	56		18	4	W 14	James A. Rhodes Arena	s/2013-02-05-	akron	2013
23	Sat, Feb 9, 2013	REG	@	Miami (OH)	MAC	W	54	50		19	4	W 15	Millett Hall	s/2013-02-09-mia	akron	2013
24	Wed, Feb 13, 2013	REG	@	Eastern Michigan	MAC	W	70	62		20	4	W 16	Convocation Center	s/2013-02-13-eastern-mic	akron	2013
25	Sat, Feb 16, 2013	REG		Bowling Green State	MAC	W	67	50		21	4	W 17	James A. Rhodes Arena	s/2013-02-16-	akron	2013
26	Fri, Feb 22, 2013	REG		North Dakota State	Summit	W	68	53		22	4	W 18	James A. Rhodes Arena	s/2013-02-22-	akron	2013
